epoch,step,train_accuracy,train_loss,val_accuracy,val_loss
0,49,,6923772896477184.0,,
0,99,,8962940690497536.0,,
0,149,,1.5399565726108877e+17,,
0,199,,1489919725797376.0,,
0,201,,,0.003835425479337573,5.480022577684414e+18
0,201,0.005424674600362778,,,
1,249,,8877372057059328.0,,
1,299,,1.0339716088140399e+19,,
1,349,,8909650346901504.0,,
1,399,,4372194566078464.0,,
1,403,,,0.003835425479337573,5.480022577684414e+18
1,403,0.005424674600362778,,,
2,449,,7829285146460160.0,,
2,499,,7852196649500672.0,,
2,549,,3.4302574758471926e+19,,
2,599,,2412392935849984.0,,
2,605,,,0.003835425479337573,5.480022577684414e+18
2,605,0.005424674600362778,,,
3,649,,2484881246388224.0,,
3,699,,4077642756128768.0,,
3,749,,9779280829480960.0,,
3,799,,4.936688901263091e+19,,
3,807,,,0.003835425479337573,5.480022577684414e+18
3,807,0.005424674600362778,,,
4,849,,2942892263866368.0,,
4,899,,3.918755648661094e+16,,
4,949,,4670407567212544.0,,
4,999,,6321460641529856.0,,
4,1009,,,0.003835425479337573,5.480022577684414e+18
4,1009,0.005424674600362778,,,
5,1049,,7421140309901312.0,,
5,1099,,2.9639403953455104e+16,,
5,1149,,2.221979641000755e+16,,
5,1199,,8.123278107720706e+19,,
5,1211,,,0.003835425479337573,5.480022577684414e+18
5,1211,0.005424674600362778,,,
6,1249,,2967054944567296.0,,
6,1299,,1.372810597367808e+16,,
6,1349,,2026609980735488.0,,
6,1399,,4.1307304953800294e+18,,
6,1413,,,0.003835425479337573,5.480022577684414e+18
6,1413,0.005424674600362778,,,
7,1449,,4176083674988544.0,,
7,1499,,1.3119771100839936e+16,,
7,1549,,1.3524410707214336e+16,,
7,1599,,1.5060468179664896e+16,,
7,1615,,,0.003835425479337573,5.480022577684414e+18
7,1615,0.005424674600362778,,,
8,1649,,4.369551980075418e+16,,
8,1699,,3458256932438016.0,,
8,1749,,9.911069968223437e+16,,
8,1799,,7.6225584920789e+16,,
8,1817,,,0.003835425479337573,5.480022577684414e+18
8,1817,0.005424674600362778,,,
9,1849,,1.0405365728411648e+16,,
